log_file,module,runner_or_script,log_type,purpose,related_output,status,file_exists,size_bytes,sha256
release_metadata/logs/ICBcomb_TRUE_CLEAN_RUN_LOG_v1.0.txt,ICBcomb,run_ICBcomb_full_sequential.R,RUNNER_EXECUTION;INPUT_VALIDATION,Frozen ICBcomb input validation and sequential reproduction,Figure 9; Supplementary Figure S27; Supplementary Figure S28; Supplementary Tables S27A-S27B,PASS,YES,2209,e9ffc8f38ec3fa8d3c3952e2b39ad6c6971eeaa8e7f27b081807863ec3982f20
release_metadata/logs/09A_GSE244983_doublet_CNV_sensitivity_execution.txt,09A GSE244983 doublet/CNV sensitivity,run_09A_GSE244983_doublet_CNV_sensitivity.R,MODULE_EXECUTION;SENSITIVITY_ANALYSIS,Doublet and CNV sensitivity module execution record,Supplementary Table S7; doublet/CNV sensitivity support for single-cell analyses,PASS,YES,1891,c19e3518bb33853b82d1685f2f6b4d84c9d7cded9359d8aaa472cde4a17c711a
release_metadata/logs/07_GSE244983_scRNA_state_localization_source_attribution.txt,GSE244983 scRNA state localization,Analysis 07,MODULE_EXECUTION,Single-cell state localization and source attribution execution record,Figure 3; Supplementary Figure S7; Supplementary Figure S8; Supplementary Tables S5-S6,PASS,YES,1871,2c6501ec5905695ee2efd16c6f26c9c190c0be6c04a94739835d85f416f89d82
release_metadata/logs/04_GSE91061_state_scoring_response_analysis.txt,GSE91061 bulk response analysis,Analysis 04,MODULE_EXECUTION,Bulk response state-scoring execution record,Supplementary Table S14,PASS,YES,455,bde49d7896ea08a60972cb27a50d69bf757f2be9f5f16c6476367a98f4b81433
release_metadata/logs/05_bulk_response_sensitivity_analysis.txt,Bulk response sensitivity,Analysis 05,MODULE_EXECUTION;SENSITIVITY_ANALYSIS,Bulk sensitivity analysis execution record,Supplementary Figure S13; Supplementary Tables S11-S13,PASS,YES,736,661bb606439da111e03de2df6197838504c27db087d971232a0da3b224d97840
release_metadata/logs/11_CosMx.txt,CosMx,run_11_CosMx_full_sequential_reproduction.R,RUNNER_EXECUTION,CosMx sequential reproduction execution record,Supplementary Figure S22; external spatial/CosMx support outputs,PASS,YES,2123,84855f7d299a52d14588ec879befd63087697d3e270fd6eb350af1e3c6cfa66c
release_metadata/logs/13_IF_mIF_sequential_runner_execution_log.csv,IF/mIF,00_RUN_IF_mIF_SEQUENTIAL.R,RUNNER_EXECUTION,Complete IF/mIF sequential chain execution log,Supplementary Figure S23; Supplementary Table S23,PASS,YES,581,a58e6d05eba866d36b344b63c6c14964deda82a723d92cf44bfd9fcdf30aeff9
release_metadata/logs/14_CellChat_LR FULL SEQUENTIAL REPRODUCTION.txt,CellChat LR,00_RUN_CellChat_LR_SEQUENTIAL.R,RUNNER_EXECUTION,CellChat ligand-receptor sequential reproduction record,Supplementary Figures S24-S26; Supplementary Tables S24-S26,PASS,YES,6028,98a994797c6e8e1961b93467a597f6d31ec0befbd273925c78fea5e7230e1aaa
release_metadata/logs/15_Additional_robustness_sequential_run_log_v1.0.txt,Additional robustness,run_15_Additional_robustness_full_sequential.R,RUNNER_EXECUTION;ROBUSTNESS_ANALYSIS,Additional robustness sequential reproduction record,Supplementary Figure S29; Supplementary Figure S30; Supplementary Table S29; Supplementary Table S30,PASS,YES,1675,eb3c9b26c6bfa3872cb02de5cd52cc65636adef136eb7b60378a5862b15adf89
release_metadata/logs/ALL_FIGURES_FULL_SEQUENTIAL_REPRODUCTION_LOG_FINAL.txt,Global figures,run_all_figures_sequential.R,RUNNER_EXECUTION;FIGURE_REPRODUCTION,Full figure-generation sequential reproduction record,Figures 2-9; Supplementary Figures S2-S30,PASS,YES,6698,0c11d9977e533f02f24ac6928b749dc7d58e82cba378d4623bddc1892ece52ad
