Module,Script,Status,Run_date,Input,Output,Notes
Bulk / external ICB analysis,01_GSE244982_bulk_state_scoring.R,PASS,2026/9/9,GSE244982 bulk matrix + frozen ICBcomb gene sets,results/tables/bulk_discovery; results/figures/bulk_discovery,Clean reproduction checkpoint PASS
Bulk / external ICB analysis,02_GSE78220_state_scoring_response_survival.R,PASS,2026/9/9,GSE78220 Patient FPKM matrix + frozen ICBcomb gene sets CLEAN GMT,results/tables/external_validation; results/figures/external_validation,Clean reproduction checkpoint PASS; 15 warnings reviewed (non-blocking)
Bulk / external ICB analysis,03_state_scoring_robustness_analysis.R,PASS,2026/9/10,Bulk discovery outputs from GSE244982 + frozen ICBcomb gene sets + state-score definitions,results/tables/state_scoring_robustness; results/figures/state_scoring_robustness,Clean reproduction checkpoint PASS. Output inventory verified. Console log unavailable after R session closure; sessionInfo preserved.
Bulk / external ICB analysis,04_GSE91061_state_scoring_response_analysis.R,PASS,2026/9/10,GSE91061 RLD expression matrix + GEO phenotype metadata + frozen ICBcomb gene sets CLEAN GMT,results/tables/GSE91061; results/intermediate/GSE91061; logs/sessionInfo_04_GSE91061_state_scoring_response_analysis.txt,Clean reproduction checkpoint PASS. All frozen reproducibility gates passed. Non-blocking package version warnings reviewed.
Bulk / external ICB analysis,05_bulk_response_sensitivity_analysis.R,PASS,2026/9/10,"GSE244982, GSE78220, GSE91061 expression/state-score objects + frozen ICBcomb gene sets + upstream bulk discovery outputs",results/tables/bulk_response_sensitivity; results/intermediate/bulk_response_sensitivity; logs/sessionInfo_05_bulk_response_sensitivity_analysis.txt,"Clean reproduction checkpoint PASS. S11 fragility audit, S12 composition-aware analysis, and S13 formal composition-adjusted analysis completed. All public-release reproducibility gates passed."
GSE244983 scRNA-seq analysis,06_GSE244983_scRNA_preprocess_major_annotation.R,PASS,2026/9/10,GSE244983 raw count matrix + author single-cell annotation table,results/tables/GSE244983/preprocess_major_annotation; results/intermediate/GSE244983/GSE244983_seurat_major_annotated.rds; logs/sessionInfo_07_GSE244983_scRNA_preprocess_major_annotation.txt,"Clean reproduction checkpoint PASS. Canonical 26,053-cell Seurat object generated after frozen preprocessing, Harmony integration, major-cell-type annotation, and reproducibility validation. All reproducibility gates passed."
GSE244983 scRNA-seq analysis,07_GSE244983_scRNA_state_localization_source_attribution_v1.2.4_FINAL.R,PASS,2026/9/10,Canonical GSE244983 major-annotated Seurat object + GSE244982 frozen state-signature mapping + CLEAN ICBcomb GMT,results/tables/GSE244983/state_localization_source_attribution; results/intermediate/GSE244983/GSE244983_seurat_state_localized.rds; logs/sessionInfo_08_GSE244983_scRNA_state_localization_source_attribution.txt,"Clean reproduction checkpoint PASS. Four predefined state scores, major-cell-type localization, canonical-marker source attribution, and integrated S8 reporting contract completed. S8 reporting contract v1.2.3 passed; canonical state-localized object and output inventory generated. Non-blocking package build-version warnings reviewed."
GSE244983 scRNA-seq analysis,08_GSE244983_CAF_stromal_analysis.R,PASS,2026/9/11,Canonical GSE244983 major-annotated Seurat object from upstream single-cell preprocessing/annotation,results/tables/GSE244983/CAF_stromal_analysis; logs/sessionInfo_09_GSE244983_CAF_stromal_analysis.txt,"Clean reproduction checkpoint PASS. CAF/stromal marker scoring, cell-type/cluster summaries, UMAP source data, DotPlot-compatible source tables, and figure-source manifest generated. All 21 frozen CAF/stromal markers detected. Reproducibility gates passed. Non-blocking package build-version warnings reviewed."
GSE244983 scRNA-seq analysis,08b_GSE244983_malignant_subclustering_v1.4.2_FINAL.R,PASS,2026/9/10,Canonical GSE244983 Seurat object from script-07 major annotation,results/tables/GSE244983/malignant_subclustering; results/intermediate/GSE244983/GSE244983_malignant_subclustered.rds; logs/sessionInfo_10_GSE244983_malignant_subclustering.txt,"Final hardening version passed. Canonical malignant-lineage subset (19,596 cells) extracted, malignant-only clustering reproduced with 10 subclusters (Mal_0–Mal_9), malignant program scoring completed, Figure 5 and Supplementary Figure S10 source tables generated, reproducibility gates passed."
GSE244983 scRNA-seq analysis,09A_GSE244983_doublet_CNV_sensitivity/run_09A_GSE244983_doublet_CNV_sensitivity.R,PASS,2026/9/10,"results/intermediate/GSE244983/GSE244983_seurat_state_localized.rds (26,053 cells, 11,616 features)",results/tables/GSE244983/doublet_CNV_sensitivity/ and inferCNV intermediate outputs,"Final 09A doublet/CNV sensitivity module completed. Eight-step workflow passed including lineage audit, pANN doublet detection, singlet filtering, robustness sensitivity analysis, inferCNV gene-order generation, and inferCNV support analysis."
External spatial recurrence (S20),01_GSE250636_build_18J.R,PASS,2026/9/10,GSE250636 Visium raw filtered feature-barcode matrices + tissue position files + frozen S20 state-gene lock (public_release/S20_external_spatial_recurrence/config/S20_locked_state_genes.csv),"results/tables/revision_external_spatial_recurrence_18J/GSE250636; 18J sample logs, coverage summaries, key readouts",Clean reproduction checkpoint PASS. Nine GSE250636 Visium samples detected. Frozen S20 state-gene lock successfully loaded. Core 18J outputs generated.
External spatial recurrence (S20),02_Thrane2018_build_18J.R,PASS,2026/9/10,Thrane2018 legacy-ST count matrices + frozen S20 state-gene lock (public_release/S20_external_spatial_recurrence/config/S20_locked_state_genes.csv),"results/tables/revision_external_spatial_recurrence_18J/Thrane2018_legacyST; matrix orientation logs, coverage summaries, key readouts, inclusion helper","Clean reproduction checkpoint PASS. Eight legacy-ST samples processed. Matrix orientation audit, coordinate inference, state-gene coverage validation completed. Non-blocking package warnings reviewed."
External spatial recurrence (S20),03_build_historical_S28_from_18J.R,PASS,2026/9/10,GSE250636 18J outputs + Thrane2018 18J outputs + audit tables,results/tables/revision_external_spatial_recurrence_18J/S28_external_spatial_recurrence_audits; Supplementary Figure S28 source files,Clean reproduction checkpoint PASS. Historical external spatial recurrence audit layer regenerated. S28 output inventory verified.
External spatial recurrence (S20),04_GSE250636_build_S20_canonical.R,PASS,2026/9/10,GSE250636 18J intermediate outputs + frozen S20 state-gene configuration,results/tables/S20_external_spatial_recurrence_CANONICAL_v1.0/GSE250636; canonical state-gene tables and recurrence outputs,Clean reproduction checkpoint PASS. Canonical GSE250636 S20 module rebuilt from frozen configuration.
External spatial recurrence (S20),05_Thrane2018_build_S20_canonical.R,PASS,2026/9/10,Thrane2018 18J intermediate outputs + frozen S20 state-gene configuration,results/tables/S20_external_spatial_recurrence_CANONICAL_v1.0/Thrane2018_legacyST; canonical state-gene tables and recurrence outputs,Clean reproduction checkpoint PASS. Canonical legacy-ST S20 module rebuilt.
External spatial recurrence (S20),06_verify_S20_locked_state_genes.R,PASS,2026/9/10,Frozen S20 lock file (public_release/S20_external_spatial_recurrence/config/S20_locked_state_genes.csv) + canonical GSE250636 and Thrane2018 state-gene outputs,Verification log / audit output,"Frozen configuration verification PASS. Public lock, GSE250636 canonical state-gene table, and Thrane2018 canonical state-gene table matched exactly. No lock regeneration performed."
External spatial recurrence (S20),07_S20_aggregate.R,PASS,2026/9/10,Canonical GSE250636 and Thrane2018 S20 outputs,Aggregated S20 recurrence tables and summary outputs,Clean reproduction checkpoint PASS. Dataset-level aggregation and cross-cohort summary completed.
External spatial recurrence (S20),08_S20_make_figure.R,PASS,2026/9/10,Aggregated S20 reporting tables + frozen figure specifications,"S20 figure source tables, final figure outputs",Clean reproduction checkpoint PASS. Figure generation completed and reporting outputs validated.
External spatial recurrence (S20),09_S20_external_spatial_recurrence_reproduction_check.R,PASS,2026/9/10,All S20 intermediate/canonical/aggregate/reporting outputs + frozen configuration,Final reproduction audit report,"Final S20 reproduction gate PASS. Historical outputs, canonical outputs, lock consistency, numeric reproducibility, aggregate checks, and figure audit passed. Overall status: READY_FOR_S20_ANALYSIS_FREEZE."
CosMx spatial analysis,11_CosMx/run_11_CosMx_full_sequential_reproduction.R,PASS,2026/9/10,01–05 CosMx generated tables + frozen raw CosMx expression/metadata + frozen ICBcomb GMT,results/audit/11_CosMx_full_sequential_runner/11_CosMx_full_sequential_runner_log.csv; logs/sessionInfo_11_CosMx_full_sequential_reproduction.txt,Clean sequential reproduction runner. Six-step pipeline completed. All reproducibility gates passed.
CosMx spatial analysis,11_CosMx/01_CosMx_state_scoring.R,PASS,2026/9/10,Run5611_MK3 expression matrix + frozen four-state GMT,results/tables/IF_mIF_validation/CosMx_cell_state_scores.csv,"Cell-level four-state scoring completed. 86,600 cells processed."
CosMx spatial analysis,11_CosMx/02_CosMx_cell_level_spatial_validation.R,PASS,2026/9/10,CosMx state-score table + Run5611_MK3 metadata coordinates,results/tables/CosMx_spatial_validation,"Spatial validation and dual-high enrichment completed. 86,572 spatial cells retained."
CosMx spatial analysis,11_CosMx/03_CosMx_metadata_QC_and_technical_sensitivity.R,PASS,2026/9/10,Spatial state table + raw metadata QC table,results/tables/CosMx_metadata_QC,Metadata-QC integration and sensitivity analysis completed. Frozen S21/S22 universe preserved.
CosMx spatial analysis,11_CosMx/04_CosMx_make_S21.R,PASS,2026/9/10,Metadata-QC enhanced CosMx table,results/canonical/S21_S22_CosMx_v1.0/figures/Supplementary_Figure_S21*,Canonical S21 reconstruction completed.
CosMx spatial analysis,11_CosMx/05_CosMx_make_S22.R,PASS,2026/9/10,Metadata-QC enhanced CosMx table,results/canonical/S21_S22_CosMx_v1.0/figures/Supplementary_Figure_S22*,Canonical S22 reconstruction completed. Six threshold sensitivity conditions reproduced.
CosMx spatial analysis,11_CosMx/11_CosMx_reproduction_check.R,PASS,2026/9/10,Step01–03 tables + S22 threshold outputs,results/audit/11_CosMx_reproduction_check,Final reproducibility audit passed. Blocking failures = 0.
Primary Visium analysis,01_Visium_build_object_and_state_scoring.R,PASS,2026/9/10,Primary Visium raw expression matrix + spatial coordinate files + sample metadata + frozen tumor–immune state gene sets,results/intermediate/Visium/canonical spatial object; state-score matrices; initial QC outputs,Clean reproduction checkpoint PASS. Canonical Visium object construction and frozen tumor–immune state scoring completed.
Primary Visium analysis,02_Visium_spatial_QC_Moran_colocalization.R,PASS,2026/9/10,Canonical Visium object + spatial coordinates + state-score matrices,results/tables/Visium/spatial_QC_Moran; spatial QC summaries; Moran-type spatial autocorrelation outputs,Clean reproduction checkpoint PASS. Spatial QC assessment and spatial autocorrelation analyses completed.
Primary Visium analysis,03_Visium_dual_high_niche_analysis.R,PASS,2026/9/10,Canonical Visium object + predefined state-score matrices,results/tables/Visium/dual_high_niche_analysis; dual-high enrichment outputs,Clean reproduction checkpoint PASS. Dual-high spatial niche classification and enrichment analyses completed.
Primary Visium analysis,03B_Visium_make_Figure8.R,PASS,2026/9/10,Validated Figure 8 source tables from upstream Visium analyses,results/figures/Visium/Figure8 source files; final Figure 8 outputs,Clean reproduction checkpoint PASS. Primary Visium figure source generation completed.
Primary Visium analysis,04_Visium_threshold_independent_covariation.R,PASS,2026/9/10,Continuous Visium state-score matrices + spatial coordinates,results/tables/Visium/threshold_independent_covariation,Clean reproduction checkpoint PASS. Threshold-independent spatial co-variation analysis completed.
Primary Visium analysis,05_Visium_composition_aware_analysis.R,PASS,2026/9/10,Visium state scores + composition-related covariates,results/tables/Visium/composition_aware_analysis,Clean reproduction checkpoint PASS. Composition-aware spatial sensitivity analyses completed.
Primary Visium analysis,06_Visium_humoral_TLS_context.R,PASS,2026/9/10,Canonical Visium object + immune/TLS-related module definitions,results/tables/Visium/humoral_TLS_context,Clean reproduction checkpoint PASS. Humoral and TLS-like spatial-context analyses completed.
Primary Visium analysis,07_Visium_primary_canonical_analysis.R,PASS,2026/9/10,Upstream validated Visium intermediate outputs + frozen analysis configuration,results/tables/Visium/primary_canonical_analysis,Clean reproduction checkpoint PASS. Primary canonical Visium analysis workflow reproduced.
Primary Visium analysis,08_Visium_make_S15_S19_figures.R,PASS,2026/9/10,Validated Visium supplementary figure source tables,results/figures/all_supplementary_figures/S15-S19 source outputs,Clean reproduction checkpoint PASS. Supplementary Figure S15-S19 generation completed and source outputs validated.
Primary Visium analysis,09_Visium_compare_with_frozen.R,PASS,2026/9/10,Reproduced Visium outputs + frozen reference outputs,results/audit/Visium_frozen_comparison,Clean reproduction checkpoint PASS. Reproduced outputs compared against frozen references.
Primary Visium analysis,09A_Visium_diagnose_reproduction_mismatches.R,PASS,2026/9/10,Visium reproduced outputs + diagnostic comparison inputs,results/audit/Visium_reproduction_diagnostics,Clean reproduction checkpoint PASS. Final reproduction diagnostic completed. No blocking mismatch identified.
IF/mIF validation,00_RUN_IF_mIF_SEQUENTIAL.R,PASS,2026/9/10,Raw CosMx expression matrix + IF/mIF metadata tables + frozen IF/mIF reference outputs (Step14A/Step14B authority files),results/audit/13_IF_mIF_runner/13_IF_mIF_sequential_runner_console.log; results/audit/13_IF_mIF_runner/13_IF_mIF_sequential_runner_execution_log.csv,Clean reproduction checkpoint PASS. Complete IF/mIF public execution chain completed (5/5 scripts PASS). Frozen reference files required for Step05 audit were explicitly supplied.
IF/mIF validation,01_IF_mIF_build_CosMx_state_scores.R,PASS,2026/9/10,CosMx expression matrix + frozen four-state gene-set configuration (Step14B_v4 state gene sets),results/tables/IF_mIF_validation/IF_mIF_CosMx_cell_state_scores.csv; results/tables/IF_mIF_validation/IF_mIF_CosMx_expression_gene_inventory.csv; results/tables/IF_mIF_validation/IF_mIF_state_gene_sets_used.csv,"Clean reproduction checkpoint PASS. Cell-level four-state scoring reproduced from frozen configuration. Total spatially resolved cells: 86,572."
IF/mIF validation,02_IF_mIF_match_and_correlation.R,PASS,2026/9/10,CosMx cell-state score table + IF metadata table + protein marker intensity table,results/tables/IF_mIF_validation/IF_mIF_state_protein_merged_table.csv; results/tables/IF_mIF_validation/IF_mIF_protein_state_spearman.csv; results/tables/IF_mIF_validation/IF_mIF_metadata_candidate_overlap_audit.csv,"Clean reproduction checkpoint PASS. IF metadata matching, cell-level merge contract, Spearman correlation and FDR procedures completed."
IF/mIF validation,03_IF_mIF_make_S23.R,PASS,2026/9/10,IF/mIF merged state-protein table + frozen Supplementary Figure S23 specification,results/figures/IF_mIF_validation/Supplementary_Figure_S23_IF_mIF_marker_signal_state_correlation.png; results/figures/IF_mIF_validation/Supplementary_Figure_S23_IF_mIF_marker_signal_state_correlation.pdf; results/figures/IF_mIF_validation/Supplementary_Figure_S23_IF_mIF_marker_signal_state_correlation_audit.csv,"Clean reproduction checkpoint PASS. Supplementary Figure S23 generated. Markers: 8; states: 4; spatially resolved cells: 86,572."
IF/mIF validation,04_IF_mIF_make_Supplementary_Table_S23.R,PASS,2026/9/10,IF/mIF correlation outputs + merged state-protein table + source manifest,results/tables/IF_mIF_validation/Supplementary_Table_S23_IF_mIF.xlsx,"Clean reproduction checkpoint PASS. Supplementary Table S23 exported using writexl::write_xlsx. Sheets: README, IF_mIF_Spearman, S23_harmonized, Source_manifest."
IF/mIF validation,05_IF_mIF_compare_with_frozen.R,PASS,2026/9/10,Frozen authority references: Step14B_CosMx_cell_state_scores_for_IF_mIF_COMPOSITE_ID_CLEAN.csv; Step14A_v8_IF_mIF_state_protein_merged_table_CLEAN.csv; Step14A_v8_IF_mIF_protein_state_spearman_CLEAN.csv + rebuilt IF/mIF outputs,results/audit/13_IF_mIF_sequential_reproduction_check/13_IF_mIF_frozen_comparison_v1.5_FINAL.csv,"Final frozen reproduction audit PASS. Step01 state scoring, Step02 merge table, and Step03 correlation reproduced exactly (maxdiff = 0; blocking failures = 0)."
CellChat/LR analysis,00_RUN_CellChat_LR_SEQUENTIAL.R,PASS,2026/9/10,"Public GSE244983 major-annotated Seurat object (results/intermediate/GSE244983/GSE244983_seurat_major_annotated.rds); locked historical CellChat sampling manifest (scripts/analysis/14_CellChat_LR/locked_input/CellChat_historical_sampling_group_manifest.csv, SHA256=b4e1dd0cd5f3da4808d9284e23de7491dd4779186021530971c7dad43f579620); Run11_MK3 CosMx expression matrix and metadata; frozen four-state gene-set configuration; frozen validation references: Step16/CellChat candidate LR reference tables and CosMx LR validation frozen outputs used by 10_CellChat_LR_compare_with_frozen.R",results/tables/CellChat_candidate_LR/; results/tables/CosMx_spatial_LR_validation/KNN20/; results/tables/CosMx_spatial_LR_validation/KNN10/; results/tables/CosMx_spatial_LR_validation/KNN30/; results/tables/CellChat_LR_reporting/Supplementary_Table_S24_CellChat_candidate_LR.xlsx; results/tables/CellChat_LR_reporting/Supplementary_Table_S25_CosMx_LR_K20.xlsx; results/tables/CellChat_LR_reporting/Supplementary_Table_S26_CosMx_LR_kNN_sensitivity.xlsx; results/audit/14_CellChat_LR_sequential_reproduction_check/; logs/14_CellChat_LR_runner/sessionInfo_14_CellChat_LR_full_sequential_reproduction.txt,Clean reproduction checkpoint PASS. Complete CellChat/LR sequential pipeline executed. CellChat nomination used locked historical sampling manifest (3219 cells). CosMx spatial LR validation completed for kNN=20 primary analysis and kNN=10/kNN=30 sensitivity analyses. Frozen comparison audit passed: Frozen_reference 2/2 PASS; Step01_CellChat 4/4 PASS; Step02_04_CosMx_LR 3/3 PASS; Step05_consolidation 1/1 PASS; Step06_09_reporting 4/4 PASS. Overall reproduction status: PASS; Decision: READY_FOR_PUBLIC_FREEZE.
CellChat/LR analysis,01_CellChat_candidate_LR_nomination.R,PASS,2026/9/10,GSE244983 major-annotated Seurat object; CellChatDB.human full database; locked CellChat sampling manifest (seed=20260504; max 800 cells/group; min 30 cells/group; SHA256 locked manifest),results/tables/CellChat_candidate_LR/; CellChat candidate LR nomination tables; candidate interaction summary,Clean reproduction checkpoint PASS. Candidate ligand-receptor nomination completed using frozen CellChat contract. 12 tracked LR axes generated.
CellChat/LR analysis,02_CosMx_spatial_LR_primary_K20.R,PASS,2026/9/10,Run11_MK3 CosMx expression matrix; spatial coordinates; cell metadata; candidate LR pairs from Step01; frozen four-state gene-set configuration,results/tables/CosMx_spatial_LR_validation/K20/,Clean reproduction checkpoint PASS. Primary CosMx spatial LR analysis completed (k=20). 999 permutations applied; BH FDR correction within k-specific universe.
CellChat/LR analysis,03_CosMx_spatial_LR_sensitivity_K10.R,PASS,2026/9/10,Same CosMx input as primary analysis; candidate LR interaction list; frozen LR analysis parameters,results/tables/CosMx_spatial_LR_validation/K10/,Clean reproduction checkpoint PASS. k=10 sensitivity analysis completed. Spatial LR robustness assessed under alternative neighborhood definition.
CellChat/LR analysis,04_CosMx_spatial_LR_sensitivity_K30.R,PASS,2026/9/10,Same CosMx input as primary analysis; candidate LR interaction list; frozen LR analysis parameters,results/tables/CosMx_spatial_LR_validation/K30/,Clean reproduction checkpoint PASS. k=30 sensitivity analysis completed. Spatial LR robustness assessed under expanded neighborhood definition.
CellChat/LR analysis,05_CellChat_LR_build_reporting_sources.R,PASS,2026/9/10,CellChat nomination outputs; CosMx LR validation outputs; frozen reporting specification,results/tables/CellChat_LR_reporting/source_tables/,Clean reproduction checkpoint PASS. Consolidated reporting-source tables generated for Supplementary Figures S24-S26 and Tables S24-S26.
CellChat/LR analysis,06_CellChat_LR_make_S24.R,PASS,2026/9/10,Reporting source tables; frozen Supplementary Figure S24 specification,results/figures/CellChat_LR_validation/Supplementary_Figure_S24*,Supplementary Figure S24 generated. Visual QC completed.
CellChat/LR analysis,07_CellChat_LR_make_S25.R,PASS,2026/9/10,Reporting source tables; frozen Supplementary Figure S25 specification,results/figures/CellChat_LR_validation/Supplementary_Figure_S25*,Supplementary Figure S25 generated. Visual QC completed.
